hotel_name, hotel_hood, price 
SO/ Berlin Das Stue,Mitte,Der Preis beträgt 787 €
787 €
Mercure Airport Hotel Berlin Tegel,Berlin,Der Preis beträgt 287 €
287 €
Motel Plus Berlin,Neukölln,Der Preis beträgt 83 €
83 €
Erlanger Hof,Neukölln,Der neue Preis beträgt 112 €
112 €
Good Morning + Berlin City East,Lichtenberg,Der Preis beträgt 93 €
93 €
The Student Hotel Berlin,Mitte,Der Preis beträgt 156 €
156 €
Upstalsboom Hotel Friedrichshain,Berlin,Der neue Preis beträgt 133 €
133 €
The Westin Grand, Berlin,Mitte,Der Preis beträgt 608 €
608 €
The Kater,Berlin,Der Preis beträgt 210 €
210 €
pentahotel Berlin-Köpenick,Berlin,Der Preis beträgt 106 €
106 €
Maritim proArte Hotel Berlin,Mitte,Der neue Preis beträgt 226 €
226 €
MEININGER Hotel Berlin Airport,Berlin,Der Preis beträgt 89 €
89 €
Vienna House Andel's Berlin,Pankow,Der neue Preis beträgt 194 €
194 €
Hotel LINDEMANN'S Berlin,Berlin,Der Preis beträgt 122 €
122 €
MEININGER Hotel Berlin East Side Gallery,Berlin,Der Preis beträgt 128 €
128 €
Bett & Buch Hotel,Berlin,Der neue Preis beträgt 81 €
81 €
The Aga's Hotel Berlin,Berlin,Der neue Preis beträgt 51 €
51 €
Luxoise Apartments Berlin Friedrichshain,Berlin,Der Preis beträgt 110 €
110 €
364.berlin,Berlin,Der Preis beträgt 84 €
84 €
Moxy Berlin Ostbahnhof,Berlin,Der Preis beträgt 156 €
156 €
Adina Apartment Hotel Berlin CheckPoint Charlie,Mitte,Der neue Preis beträgt 229 €
229 €
Vienna House Easy Berlin,Pankow,Der neue Preis beträgt 169 €
169 €
Honigmond Boutique Hotel Berlin-Mitte,Mitte,Der neue Preis beträgt 184 €
184 €
Mondrian Suites Berlin Checkpoint Charlie,Berlin,Der neue Preis beträgt 214 €
214 €
Meininger Hotel Berlin Mitte Humboldthaus,Mitte,Der Preis beträgt 173 €
173 €
Hotel PLUS Berlin,Berlin,Der Preis beträgt 132 €
132 €
Hotel Karlshorst,Lichtenberg,Der Preis beträgt 61 €
61 €
Courtyard by Marriott Berlin City Center,Mitte,Der Preis beträgt 319 €
319 €
Holiday Inn Berlin City Center East Prenzlauer Berg,Pankow,Der Preis beträgt 193 €
193 €
Seminaris CampusHotel Lifestyle + Design Berlin,Berlin,Der neue Preis beträgt 186 €
186 €
Hotel Am Schloss Koepenick Berlin by Golden Tulip,Berlin,Der Preis beträgt 104 €
104 €
Hotel Mardin Berlin,Dahlwitz-Hoppegarten,Der neue Preis beträgt 45 €
45 €
Hotel Neuer Fritz Berlin,Mitte,Der neue Preis beträgt 222 €
222 €
Grimms Hotel Berlin Mitte,Mitte,Der Preis beträgt 193 €
193 €
COSMO Hotel Berlin Mitte,Mitte,Der Preis beträgt 232 €
232 €
Parkhotel Marzahn,Neueiche,Der Preis beträgt 88 €
88 €
Capri by Fraser Berlin,Mitte,Der Preis beträgt 239 €
239 €
Victor's Residenz-Hotel Berlin Tegel,Berlin,Der Preis beträgt 207 €
207 €
Teikyo Hotel,Berlin,Der Preis beträgt 59 €
59 €
Good Morning Berlin City West,Berlin,Der Preis beträgt 161 €
161 €
CHECK IN HOTEL,Berlin,Der Preis beträgt 85 €
85 €
frederics Berlin City Hackescher Markt,Mitte,Der neue Preis beträgt 278 €
278 €
Familienhotel Citylight Berlin,Mitte,Der Preis beträgt 202 €
202 €
a&o Berlin Kolumbus,Lichtenberg,Der Preis beträgt 49 €
49 €
Essential by Dorint Berlin-Adlershof,Berlin,Der neue Preis beträgt 135 €
135 €
The Weinmeister Berlin-Mitte-Adults Only,Mitte,Der neue Preis beträgt 294 €
294 €
Hotel Nikolai Residence,Mitte,Der Preis beträgt 259 €
259 €
Grand Hostel Berlin Urban,Neukölln,Der neue Preis beträgt 81 €
81 €
NH Berlin City Ost,Lichtenberg,Der Preis beträgt 161 €
161 €
Mercure Hotel Berlin Tempelhof,Neukölln,Der Preis beträgt 137 €
137 €
a&o Berlin Hauptbahnhof,Mitte,Der Preis beträgt 112 €
112 €
Best Western Hotel City Ost,Berlin,Der Preis beträgt 167 €
167 €
Albergo City Hotel Berlin,Charlottenburg-Wilmersdorf,Der neue Preis beträgt 175 €
175 €
Grünau Hotel,Berlin,Der neue Preis beträgt 101 €
101 €
ibis Styles Berlin Treptow,Berlin,Der Preis beträgt 113 €
113 €
Hotel Grenzfall Berlin,Mitte,Der Preis beträgt 192 €
192 €
Adele Designhotel,Pankow,Der Preis beträgt 190 €
190 €
Adapt Apartments Berlin,Berlin,Der Preis beträgt 130 €
130 €
Apartment with nice Chesterfield room,Lichtenberg,Der Preis beträgt 113 €
113 €
Berlin Marriott Hotel,Mitte,Der Preis beträgt 478 €
478 €
arabel Design Apartments Berlin,Mitte,Der neue Preis beträgt 277 €
277 €
