,Hotel,Price €,Street,Area,Zip
0,City Hotel am Gendarmenmarkt,€ 107,Leipziger Str. 65, Mitte," 10117 Berlin, Germany"
4,mk hotel berlin,€ 91,Osloer Straße 100, Mitte," 13359 Berlin, Germany"
5,Best Western Hotel am Spittelmarkt,€ 79,Neue Grünstraße 28, Mitte," 10179 Berlin, Germany"
6,Hyperion Hotel Berlin,€ 131,Prager Str. 12, Charlottenburg-Wilmersdorf," 10779 Berlin, Germany"
7,Michelberger Hotel,€ 85,Warschauer Str. 39-40, Friedrichshain-Kreuzberg," 10243 Berlin, Germany"
9,NH Berlin Potsdamer Platz,€ 100,Stresemannstr. 47, Friedrichshain-Kreuzberg," 10963 Berlin, Germany"
11,EnergieHotel Berlin City West,€ 59,Wielandstrasse 7/8, Charlottenburg-Wilmersdorf," 10625 Berlin, Germany"
12,Novotel Suites Berlin City Potsdamer Platz,€ 106,Anhalter Str. 2, Friedrichshain-Kreuzberg," 10963 Berlin, Germany"
13,ibis budget Berlin Kurfürstendamm,€ 87,Bayreuther Strasse 41, Tempelhof-Schöneberg," 10787 Berlin, Germany"
14,ibis Hotel Berlin Airport Tegel,€ 62,Alt-Reinickendorf 4-5, Reinickendorf," 13407 Berlin, Germany"
16,Gold Hotel,€ 110,Weserstr. 24, Friedrichshain-Kreuzberg," 10247 Berlin, Germany"
19,25hours Hotel Bikini Berlin,€ 178,Budapester Str. 40, Charlottenburg-Wilmersdorf," 10787 Berlin, Germany"
20,Apart Hotel Ferdinand Berlin,€ 65,Ferdinand-Schultze-Str. 92, Lichtenberg," 13055 Berlin, Germany"
21,Grand Hyatt Berlin,€ 169,Marlene-Dietrich-Platz 2, Mitte," 10785 Berlin, Germany"
22,Potsdamer Inn,€ 68,Potsdamerstr.145, Tempelhof-Schöneberg," 10783 Berlin, Germany"
23,H10 Berlin Ku'damm,€ 95,Joachimsthaler Str. 31-32, Charlottenburg-Wilmersdorf," 10719 Berlin, Germany"
25,Hotel 38,€ 99,Oranienburger Str. 38, Mitte," 10117 Berlin, Germany"
26,Hotel Transit Loft,€ 69,Immanuelkirchstr. 14 A, Prenzlauer Berg," 10405 Berlin, Germany"
27,Ku'Damm 101 Hotel,€ 89,Kurfürstendamm 101, Charlottenburg-Wilmersdorf," 10711 Berlin, Germany"
28,New Berlin,€ 99,Petersburger Str. 24, Friedrichshain-Kreuzberg," 10249 Berlin, Germany"
29,Hotel Goldmarie,€ 85,Warschauerstr. 58, Friedrichshain-Kreuzberg," 10243 Berlin, Germany"
30,Hotel Klassik Berlin,€ 99,Revaler Straße 6, Friedrichshain-Kreuzberg," 10245 Berlin, Germany"
31,Metropolitan Hotel Berlin,€ 80,Schaperstraße 36, Charlottenburg-Wilmersdorf," 10719 Berlin, Germany"
33,NH Berlin Alexanderplatz,€ 106,Landsberger Allee 26, Friedrichshain-Kreuzberg," 10249 Berlin, Germany"
34,Pullman Berlin Schweizerhof,€ 110,Budapester Str. 25, Mitte," 10787 Berlin, Germany"
35,Hotel Ludwig van Beethoven,€ 93,Hasenheide 14, Friedrichshain-Kreuzberg," 10967 Berlin, Germany"
36,Centro Hotel Kurfürstendamm,€ 70,Kleiststr. 9-12, Tempelhof-Schöneberg," 10787 Berlin, Germany"
37,Novum Hotel Kronprinz Berlin,€ 73,Kronprinzendamm 1, Charlottenburg-Wilmersdorf," 10711 Berlin, Germany"
38,Lindner Hotel AM KU'DAMM Berlin,€ 102,Kurfürstendamm 24, Charlottenburg-Wilmersdorf," 10719 Berlin, Germany"
40,Best Western Hotel City Ost,€ 75,Frankfurter Allee 57-59, Friedrichshain-Kreuzberg," 10247 Berlin, Germany"
41,"Hotel Berlin, Berlin",€ 98,Lützowplatz 17, Mitte," 10785 Berlin, Germany"
43,Mercure Berlin Wittenbergplatz,€ 90,Wittenbergplatz 3, Tempelhof-Schöneberg," 10789 Berlin, Germany"
44,Berlin Mark Hotel,€ 65,Meinekestr. 18-19, Charlottenburg-Wilmersdorf," 10719 Berlin, Germany"
45,Regent - Berlin,€ 201,Charlottenstrasse 49, Mitte," 10117 Berlin, Germany"
47,B&B Hotel Berlin-Charlottenburg,€ 69,117 Kaiserdamm, Charlottenburg-Wilmersdorf," 14057 Berlin, Germany"
48,INNSiDE by Meliá Berlin Mitte,€ 109,Chausseestr. 33, Mitte," 10115 Berlin, Germany"
49,Steigenberger Hotel Berlin,€ 124,Los-Angeles-Platz 1, Charlottenburg-Wilmersdorf," 10789 Berlin, Germany"
51,Hotel Adlon Kempinski Berlin,€ 243,Unter den Linden 77, Mitte," 10117 Berlin, Germany"
53,IntercityHotel Berlin Hauptbahnhof,€ 115,Katharina-Paulus-Str. 5, Mitte," 10557 Berlin, Germany"
54,Hotel Bristol Berlin,€ 131,Kurfürstendamm 27, Charlottenburg-Wilmersdorf," 10719 Berlin, Germany"
55,Steigenberger Hotel am Kanzleramt,€ 142,Ella-Trebe-Straße 5, Mitte," 10557 Berlin, Germany"
56,Motel One Berlin-Alexanderplatz,€ 99,11 Grunerstraße, Mitte," 10179 Berlin, Germany"
