hotel_name, hotel_hood, price 
Mercure Airport Hotel Berlin Tegel,Berlin,Der Preis beträgt 287 €
287 €
The Ritz-Carlton, Berlin,Mitte,Der Preis beträgt 468 €
468 €
TWO Hotel Berlin by Axel - Adults Only,Charlottenburg-Wilmersdorf,Der neue Preis beträgt 142 €
142 €
Motel Plus Berlin,Neukölln,Der Preis beträgt 83 €
83 €
Good Morning + Berlin City East,Lichtenberg,Der Preis beträgt 93 €
93 €
Living Hotel Weißensee,Pankow,Der Preis beträgt 132 €
132 €
Erlanger Hof,Neukölln,Der neue Preis beträgt 112 €
112 €
SO/ Berlin Das Stue,Mitte,Der Preis beträgt 441 €
441 €
The Kater,Berlin,Der Preis beträgt 223 €
223 €
Axel Hotel Berlin - Adults Only,Berlin,Der Preis beträgt 198 €
198 €
Grimms Potsdamer Platz,Mitte,Der Preis beträgt 245 €
245 €
Michels Apart Hotel Berlin,Charlottenburg-Wilmersdorf,Der neue Preis beträgt 292 €
292 €
MEININGER Hotel Berlin Airport,Berlin,Der Preis beträgt 84 €
84 €
Hotel Müggelsee Berlin,Berlin,Der neue Preis beträgt 94 €
94 €
Seminaris CampusHotel Lifestyle + Design Berlin,Berlin,Der neue Preis beträgt 186 €
186 €
Hotel Helle Mitte Berlin,Berlin,Der neue Preis beträgt 58 €
58 €
DämeritzSeehotel,Hessenwinkel,Der Preis beträgt 109 €
109 €
MEININGER Hotel Berlin East Side Gallery,Berlin,Der Preis beträgt 118 €
118 €
Hotel Klassik Berlin,Berlin,Der Preis beträgt 108 €
108 €
Honigmond Boutique Hotel Berlin-Mitte,Mitte,Der neue Preis beträgt 189 €
189 €
Exe Hotel Klee Berlin Excellence Class,Berlin,Der neue Preis beträgt 195 €
195 €
Vienna House Easy Berlin,Pankow,Der neue Preis beträgt 169 €
169 €
Mondrian Suites Berlin Checkpoint Charlie,Berlin,Der neue Preis beträgt 221 €
221 €
Angleterre Hotel,Berlin,Der neue Preis beträgt 227 €
227 €
Hotel MANI by AMANO Group,Mitte,Der Preis beträgt 209 €
209 €
Bett & Buch Hotel,Berlin,Der neue Preis beträgt 81 €
81 €
Holiday Inn Berlin - City East Side,Berlin,Der Preis beträgt 173 €
173 €
Sheraton Berlin Grand Hotel Esplanade,Mitte,Der Preis beträgt 513 €
513 €
Hotel Pankow,Pankow,Der Preis beträgt 103 €
103 €
Hotel PLUS Berlin,Berlin,Der Preis beträgt 137 €
137 €
IBB Blue Hotel Adlershof Berlin-Airport,Berlin,Der Preis beträgt 98 €
98 €
Victor's Residenz-Hotel Berlin,Pankow,Der Preis beträgt 228 €
228 €
Adele Designhotel,Pankow,Der neue Preis beträgt 144 €
144 €
Orania.Berlin,Berlin,Der Preis beträgt 414 €
414 €
Grimms Hotel Berlin Mitte,Mitte,Der Preis beträgt 193 €
193 €
Gorki Apartments Berlin,Mitte,Der neue Preis beträgt 478 €
478 €
Hotel Riu Plaza Berlin,Berlin,Der Preis beträgt 278 €
278 €
Schlosshotel Berlin by Patrick Hellmann,Charlottenburg-Wilmersdorf,Der Preis beträgt 428 €
428 €
