,hotel_name,area,price
126,Hotel Nikolai Residence,Mitte,259
127,Hotel PLUS Berlin,Berlin,137
128,Hotel Pankow,Pankow,83
129,Hotel Pankow,Pankow,103
130,Hotel Pension Rheingold,Charlottenburg-Wilmersdorf,198
131,Hotel Pension Victoria,Lichtenberg,57
132,Hotel Riehmers Hofgarten,Berlin,201
133,Hotel Riehmers Hofgarten,Berlin,201
134,Hotel Riu Plaza Berlin,Berlin,278
135,Hotel Zarenhof Friedrichshain,Berlin,160
136,Hotel-Garni An der Weide,Berlin,65
137,IBB Blue Hotel Adlershof Berlin-Airport,Berlin,98
138,INNSiDE by Melia Berlin Mitte,Mitte,192
139,INNSiDE by Melia Berlin Mitte,Mitte,208
140,Insor,Berlin,80
141,Insor,Berlin,80
142,JUGENDHERBERGE BERLIN - AM WANNSEE,Berlin,49
143,JUGENDHERBERGE BERLIN - AM WANNSEE,Berlin,49
144,Kiez Hostel Berlin,Berlin,61
145,Living Hotel Großer Kurfürst,Mitte,221
146,Living Hotel Weißensee,Pankow,132
147,Living Hotel Weißensee,Pankow,132
148,LoftFarm,Mitte,46
149,Lux 11 Berlin Mitte,Mitte,393
150,Luxoise Apartments Berlin Friedrichshain,Berlin,110
151,Luxoise Apartments Berlin Friedrichshain,Berlin,110
152,Luxoise Apartments Berlin Friedrichshain,Berlin,126
153,M I N I T E L,Neukölln,351
154,MEININGER Hotel Berlin Airport,Berlin,89
155,MEININGER Hotel Berlin Airport,Berlin,84
156,MEININGER Hotel Berlin Airport,Berlin,89
157,MEININGER Hotel Berlin East Side Gallery,Berlin,128
158,MEININGER Hotel Berlin East Side Gallery,Berlin,118
159,MEININGER Hotel Berlin East Side Gallery,Berlin,128
160,MEININGER Hotel Berlin Tiergarten,Mitte,210
161,MEININGER Hotel Berlin Tiergarten,Mitte,205
162,Maritim proArte Hotel Berlin,Mitte,226
163,Maritim proArte Hotel Berlin,Mitte,226
164,Max Brown Kudamm,Charlottenburg-Wilmersdorf,278
165,Mercure Airport Hotel Berlin Tegel,Berlin,287
166,Mercure Airport Hotel Berlin Tegel,Berlin,287
167,Mercure Hotel Berlin Tempelhof,Neukölln,137
168,Mercure Hotel Berlin am Alexanderplatz,Mitte,186
169,Mercure Hotel Berlin am Alexanderplatz,Mitte,186
170,Mercure Hotel Berlin am Alexanderplatz,Mitte,186
171,Metropol Hostel Berlin,Berlin,122
172,Michelberger Hotel Berlin,Berlin,226
173,Michelberger Hotel Berlin,Berlin,226
174,Michels Apart Hotel Berlin,Charlottenburg-Wilmersdorf,292
175,Mikon Eastgate Hotel,Mitte,341
176,Mikon Eastgate Hotel,Mitte,249
177,Mondrian Suites Berlin Checkpoint Charlie,Berlin,221
178,Motel Plus Berlin,Neukölln,83
179,Motel Plus Berlin,Neukölln,83
180,NEWBERLIN,Berlin,188
181,NEWBERLIN,Berlin,188
182,NH Berlin Alexanderplatz,Berlin,383
183,NH Berlin City Ost,Lichtenberg,161
184,NH Berlin City Ost,Lichtenberg,161
185,NH Berlin Kurfürstendamm,Charlottenburg-Wilmersdorf,396
186,NH Collection Berlin Mitte am Checkpoint Charlie,Mitte,375
187,OYO Hotel Bohemia,Neukölln,204
188,OYO Hotel Bohemia,Neukölln,119
189,Ocak Apartment & Hotel Berlin,Mitte,179
190,Old Town Hostel Berlin,Pankow,48
191,Ootel.co,Berlin,37
192,Orania.Berlin,Berlin,414
193,Ostel - Das DDR Design Hostel Berlin,Berlin,51
194,Ostel - Das DDR Design Hostel Berlin,Berlin,51
195,Parkhotel Marzahn,Neueiche,88
196,Paula Studio Apartment,Pankow,126
197,Pension Prenzlberg,Pankow,145
