name,price,area,source
7745422,89,Mitte,airbnb
928440,31,Mitte,airbnb
15002075,43,Friedrichshain-Kreuzberg,airbnb
7635705,179,Friedrichshain-Kreuzberg,airbnb
17188501,26,Friedrichshain-Kreuzberg,airbnb
1338928,107,Friedrichshain-Kreuzberg,airbnb
15218854,44,Friedrichshain-Kreuzberg,airbnb
8787571,31,Friedrichshain-Kreuzberg,airbnb
16554793,71,Reinickendorf,airbnb
1248129,49,Reinickendorf,airbnb
3327314,215,Mitte,airbnb
9921767,40,Mitte,airbnb
16032156,77,Mitte,airbnb
8964300,71,Mitte,airbnb
16626860,35,Mitte,airbnb
8898622,262,Mitte,airbnb
17244738,67,Mitte,airbnb
13483676,63,Mitte,airbnb
13548775,49,Mitte,airbnb
17608721,11,Mitte,airbnb
16466602,62,Mitte,airbnb
5081448,29,Mitte,airbnb
7878281,85,Mitte,airbnb
17478269,54,Mitte,airbnb
2202083,71,Mitte,airbnb
6796064,49,Mitte,airbnb
14328779,32,Mitte,airbnb
16026719,53,Mitte,airbnb
17957072,58,Mitte,airbnb
4108488,62,Mitte,airbnb
10153847,197,Mitte,airbnb
12053231,24,Mitte,airbnb
4698209,134,Mitte,airbnb
16686692,76,Mitte,airbnb
14540326,130,Mitte,airbnb
1235272,143,Mitte,airbnb
12227751,44,Mitte,airbnb
4671816,49,Mitte,airbnb
7318855,89,Mitte,airbnb
3531414,31,Mitte,airbnb
13667580,116,Mitte,airbnb
1736925,179,Mitte,airbnb
7701801,58,Mitte,airbnb
420114,89,Mitte,airbnb
3859877,30,Mitte,airbnb
17130451,26,Mitte,airbnb
14437880,40,Mitte,airbnb
10373733,85,Mitte,airbnb
11290790,44,Mitte,airbnb
15878264,26,Mitte,airbnb
15130448,98,Mitte,airbnb
15113805,125,Mitte,airbnb
5465981,40,Mitte,airbnb
8608584,17,Mitte,airbnb
8379293,29,Mitte,airbnb
11170613,22,Mitte,airbnb
13455582,17,Mitte,airbnb
7553181,44,Mitte,airbnb
15406572,89,Mitte,airbnb
6781856,53,Spandau,airbnb
4590103,37,Steglitz - Zehlendorf,airbnb
18545612,98,Steglitz - Zehlendorf,airbnb
1978684,35,Tempelhof - Schöneberg,airbnb
7932105,26,Tempelhof - Schöneberg,airbnb
1099815,98,Tempelhof - Schöneberg,airbnb
14073167,44,Tempelhof - Schöneberg,airbnb
12318032,35,Tempelhof - Schöneberg,airbnb
6599218,34,Tempelhof - Schöneberg,airbnb
5430339,35,Tempelhof - Schöneberg,airbnb
1291979,31,Tempelhof - Schöneberg,airbnb
6016000,35,Tempelhof - Schöneberg,airbnb
12418918,107,Tempelhof - Schöneberg,airbnb
8747868,49,Tempelhof - Schöneberg,airbnb
224335,106,Tempelhof - Schöneberg,airbnb
5659805,43,Tempelhof - Schöneberg,airbnb
16539226,62,Tempelhof - Schöneberg,airbnb
14433729,30,Tempelhof - Schöneberg,airbnb
8859670,58,Tempelhof - Schöneberg,airbnb
660996,53,Tempelhof - Schöneberg,airbnb
13439464,31,Tempelhof - Schöneberg,airbnb
17764364,40,Tempelhof - Schöneberg,airbnb
13976706,44,Tempelhof - Schöneberg,airbnb
15075590,41,Tempelhof - Schöneberg,airbnb
13500874,27,Tempelhof - Schöneberg,airbnb
13630912,161,Tempelhof - Schöneberg,airbnb
15465690,22,Tempelhof - Schöneberg,airbnb
6847957,25,Neukölln,airbnb
17792375,31,Neukölln,airbnb
8024174,31,Neukölln,airbnb
682853,31,Neukölln,airbnb
2583272,46,Neukölln,airbnb
7688581,26,Neukölln,airbnb
3034525,44,Neukölln,airbnb
3623086,44,Neukölln,airbnb
8602241,44,Neukölln,airbnb
6307526,22,Neukölln,airbnb
13909255,62,Neukölln,airbnb
1324011,31,Neukölln,airbnb
6367904,49,Neukölln,airbnb
15761974,28,Neukölln,airbnb
6491142,116,Neukölln,airbnb
18442152,31,Tempelhof - Schöneberg,airbnb
18031253,40,Tempelhof - Schöneberg,airbnb
11315246,28,Neukölln,airbnb
1614414,40,Treptow - Köpenick,airbnb
1083136,69,Marzahn - Hellersdorf,airbnb
18427505,49,Reinickendorf,airbnb
15511545,26,Tempelhof - Schöneberg,airbnb
8346610,62,Neukölln,airbnb
7608724,35,Neukölln,airbnb
12477523,17,Neukölln,airbnb
6281704,31,Neukölln,airbnb
7412656,35,Neukölln,airbnb
15936881,46,Neukölln,airbnb
9763483,30,Neukölln,airbnb
15979728,40,Neukölln,airbnb
11368062,44,Neukölln,airbnb
5495943,48,Neukölln,airbnb
14939381,22,Neukölln,airbnb
11899062,170,Neukölln,airbnb
13749684,45,Neukölln,airbnb
13749552,25,Neukölln,airbnb
14992609,44,Neukölln,airbnb
14849548,22,Neukölln,airbnb
7456685,17,Neukölln,airbnb
6653736,53,Friedrichshain-Kreuzberg,airbnb
1014824,85,Friedrichshain-Kreuzberg,airbnb
593920,31,Friedrichshain-Kreuzberg,airbnb
5199916,33,Friedrichshain-Kreuzberg,airbnb
4407058,17,Friedrichshain-Kreuzberg,airbnb
14630491,26,Friedrichshain-Kreuzberg,airbnb
11352279,42,Friedrichshain-Kreuzberg,airbnb
4144081,32,Friedrichshain-Kreuzberg,airbnb
6566904,62,Friedrichshain-Kreuzberg,airbnb
11083314,15,Friedrichshain-Kreuzberg,airbnb
12194943,49,Friedrichshain-Kreuzberg,airbnb
997089,80,Friedrichshain-Kreuzberg,airbnb
17134665,30,Friedrichshain-Kreuzberg,airbnb
